Token,Frequency
cid,9647
matrix,1564
vector,1262
space,871
basis,717
row,611
map,597
example,455
set,434
system,421
number,403
solution,367
chapter,319
subspace,313
equation,301
column,300
line,294
operation,265
form,254
function,252
entry,250
combination,243
section,235
way,235
point,225
plane,211
respect,205
definition,199
dimension,190
show,189
sum,188
element,180
case,178
product,177
polynomial,176
transformation,171
inverse,167
member,163
domain,159
span,158
formula,157
result,155
r3,151
multiplication,150
determinant,148
range,144
variable,141
class,135
condition,135
rank,135
subset,134
instance,128
one,125
term,125
representation,124
projection,124
eigenvalue,118
identity,113
proof,113
isomorphism,113
time,109
coefficient,109
subsection,108
addition,107
equivalence,104
image,104
value,103
echelon,103
component,103
part,102
side,96
property,94
statement,93
nonzero,93
permutation,91
homomorphism,85
step,81
topic,80
size,80
relationship,80
reduction,79
string,79
relation,77
axis,77
year,76
pair,76
degree,73
factor,72
similarity,69
power,68
distance,67
unit,67
change,65
picture,64
origin,62
length,61
ρ2,60
direction,60
action,60
linear,58
swap,58
square,57
order,55
argument,55
ρ3,54
angle,54
composition,54
proj,54
scalar,53
computer,53
steel,53
eigenvector,52
page,52
right,52
thing,51
fact,50
problem,50
sequence,49
expansion,49
sage,49
model,49
root,48
block,46
notation,45
coordinate,45
auto,45
check,44
left,44
nullity,44
list,43
integer,43
intersection,43
transpose,42
index,42
motion,42
diagram,42
book,41
hand,40
collection,40
idea,39
answer,38
representative,38
state,38
calculation,37
table,36
effect,36
geometry,36
induction,36
structure,36
exercise,35
question,35
sense,35
demand,35
ohm,35
method,34
description,34
zero,34
arrow,34
correspondence,34
output,34
restriction,33
item,33
dx,33
half,32
rest,31
note,31
box,31
volume,31
multiple,30
area,29
constant,29
use,29
kind,29
other,28
population,28
preference,28
input,28
sign,28
rotation,28
chain,28
computation,27
parameter,27
difference,27
second,27
sinθ,27
datum,27
advantage,26
th,26
dot,26
prove,26
network,26
period,26
independence,26
voter,26
quantity,26
mass,25
lemma,25
position,25
figure,25
cube,25
complement,25
cycle,25
det,25
study,24
